Player,Age,G,MP_PERGAME,FG_PERGAME,FGA_PERGAME,FG%_PERGAME,3P_PERGAME,3PA_PERGAME,3P%_PERGAME,2P_PERGAME,2PA_PERGAME,2P%_PERGAME,FT_PERGAME,FT%_PERGAME,ORB_PERGAME,DRB_PERGAME,TRB_PERGAME,AST_PERGAME,BLK_PERGAME,TOV_PERGAME,PTS_PERGAME,G_prev,Seasons Played,Season,PER_ADVANCED,AST%_ADVANCED,USG%_ADVANCED,OWS_ADVANCED,WS_ADVANCED,WS/48_ADVANCED,BPM_ADVANCED,VORP_ADVANCED,G_diff,GS_diff,MP_diff,FG_diff,FGA_diff,3P_diff,3PA_diff,2P_diff,2PA_diff,FT_diff,FTA_diff,DRB_diff,TRB_diff,AST_diff,BLK_diff,TOV_diff,PTS_diff,PTS_diff_BS,PER_diff,AST%_diff,USG%_diff,OWS_diff,STL%_diff,BLK%_diff,3PAr_diff,ORB%_diff,OBPM_diff,DBPM_diff,DWS_diff,WS_diff,WS/48_diff,BPM_diff,VORP_diff,Seed,Previous Seed,Seed Difference,PCT,MIP Rank,MIP Share
Leandro Barbosa,24,80,32.7,6.6,13.9,0.476,2.4,5.5,0.434,4.2,8.4,0.504,2.5,0.845,0.3,2.4,2.7,4.0,0.2,1.8,18.1,57.0,3,2006-07,18.4,18.7,23.4,6.1,8.2,0.151,2.7,3.1,23.0,7.0,4.800000000000004,1.7999999999999998,4.0,0.8999999999999999,2.1,0.9000000000000004,1.9000000000000004,0.6000000000000001,0.2999999999999998,0.2999999999999998,0.10000000000000009,1.2000000000000002,0.1,0.19999999999999996,5.000000000000002,5.000000000000002,3.299999999999999,4.299999999999999,3.099999999999998,3.4999999999999996,0.30000000000000004,0.10000000000000003,0.04800000000000004,-1.2000000000000002,2.2,0.6,0.9000000000000001,4.3999999999999995,0.03599999999999999,2.8000000000000003,2.3,2.0,4.0,2.0,0.7439024390243902,8,0.037
Matt Barnes,26,76,23.9,3.6,8.3,0.438,1.4,3.8,0.366,2.2,4.4,0.5,1.2,0.732,1.2,3.4,4.6,2.1,0.5,1.4,9.8,56.0,3,2006-07,14.7,12.8,18.5,1.9,3.7,0.099,0.9,1.3,20.0,18.0,12.599999999999998,2.3,5.800000000000001,1.2999999999999998,3.5,1.0000000000000002,2.2,0.6,0.8,2.0999999999999996,2.3999999999999995,1.6,0.4,0.8999999999999999,6.700000000000001,5.300000000000001,4.0,5.800000000000001,4.699999999999999,1.4,0.2999999999999998,0.8999999999999999,0.35500000000000004,-3.5,3.6,0.4,1.4,2.7,0.024000000000000007,4.0,1.5,12.0,22.0,10.0,0.5121951219512195,0,0.0
Andrew Bogut,22,66,34.2,5.3,9.5,0.553,0.0,0.1,0.2,5.3,9.5,0.556,1.7,0.577,2.5,6.3,8.8,3.0,0.5,2.3,12.3,82.0,1,2006-07,15.5,13.9,17.3,2.6,4.0,0.085,0.0,1.2,-16.0,-11.0,5.600000000000001,1.4,2.0999999999999996,0.0,0.1,1.4,2.0999999999999996,0.19999999999999996,0.5,1.5999999999999996,1.8000000000000007,0.7000000000000002,-0.30000000000000004,0.7999999999999998,2.9000000000000004,2.9000000000000004,0.3000000000000007,0.5,1.4000000000000004,-0.5,0.0,-1.0999999999999999,0.003,-0.7000000000000011,0.5,-0.8999999999999999,-1.0,-1.5,-0.027999999999999997,-0.4,-0.19999999999999996,28.0,17.0,-11.0,0.34146341463414637,0,0.0
Devin Brown,28,58,28.7,4.0,9.6,0.42,1.4,3.9,0.357,2.6,5.7,0.463,2.1,0.794,0.9,3.4,4.3,2.6,0.2,1.6,11.6,81.0,3,2006-07,14.3,14.8,19.6,2.1,3.5,0.102,0.1,0.9,-23.0,35.0,7.599999999999998,1.4,3.0999999999999996,0.8999999999999999,2.4,0.5,0.7000000000000002,0.10000000000000009,0.10000000000000009,1.7,1.6999999999999997,1.3,0.0,0.40000000000000013,4.1,4.1,4.0,4.100000000000001,0.10000000000000142,1.7000000000000002,0.0,-0.29999999999999993,0.18499999999999997,-1.3999999999999995,2.3000000000000003,1.2,0.3999999999999999,2.1,0.06099999999999999,3.4,1.5,0.0,0.0,0.0,0.0,0,0.0
Caron Butler,26,63,39.3,7.2,15.5,0.463,0.3,1.1,0.25,6.9,14.3,0.48,4.5,0.863,2.3,5.1,7.4,3.7,0.3,2.9,19.1,75.0,4,2006-07,18.3,15.9,23.1,3.4,5.3,0.103,0.9,1.8,-12.0,9.0,3.1999999999999957,0.6000000000000005,1.0,-0.2,-0.5,0.9000000000000004,1.4000000000000004,0.6000000000000001,0.7999999999999998,0.39999999999999947,1.2000000000000002,1.2000000000000002,0.09999999999999998,0.6000000000000001,1.5,1.5,1.3000000000000007,3.8000000000000007,-0.09999999999999787,-0.10000000000000009,0.3999999999999999,0.0,-0.036000000000000004,1.7999999999999998,0.7000000000000001,-0.30000000000000004,-0.8999999999999999,-1.0,-0.009000000000000008,0.30000000000000004,0.10000000000000009,15.0,13.0,-2.0,0.5,20,0.003
Matt Carroll,26,72,26.1,4.0,9.1,0.433,1.5,3.7,0.416,2.4,5.4,0.445,2.6,0.904,0.5,2.4,2.9,1.3,0.1,1.0,12.1,78.0,1,2006-07,14.6,8.2,19.9,3.4,4.6,0.117,0.3,1.1,-6.0,41.0,9.8,1.5,3.0,0.6,1.3000000000000003,0.8999999999999999,1.7000000000000002,0.8,0.6999999999999997,0.7999999999999998,0.8999999999999999,0.9,0.0,0.4,4.5,4.5,0.6999999999999993,3.5999999999999996,-0.9000000000000021,1.7999999999999998,-0.3999999999999999,-0.29999999999999993,0.017000000000000015,-0.7999999999999998,0.9,0.0,0.19999999999999996,1.9999999999999996,0.020000000000000004,0.8999999999999999,0.6000000000000001,21.0,28.0,7.0,0.4024390243902439,17T,0.005
Tyson Chandler,24,73,34.6,4.0,6.4,0.624,0.0,0.0,0.0,4.0,6.4,0.625,1.5,0.527,4.4,8.0,12.4,0.9,1.8,1.7,9.5,79.0,4,2006-07,17.0,4.1,12.3,4.1,7.9,0.15,0.6,1.6,-6.0,23.0,7.800000000000001,2.0,2.8000000000000003,0.0,0.0,2.0,2.8000000000000003,0.30000000000000004,0.3999999999999999,2.3,3.4000000000000004,-0.09999999999999998,0.5,0.09999999999999987,4.2,0.3000000000000007,4.800000000000001,-1.5,1.9000000000000004,2.5999999999999996,-0.19999999999999996,0.2999999999999998,-0.002,-0.09999999999999964,2.1,-1.1,-0.10000000000000009,2.5,0.026999999999999996,1.0,0.7000000000000001,0.0,0.0,0.0,0.0,4,0.112
Josh Childress,23,55,36.8,4.7,9.4,0.504,0.5,1.4,0.338,4.3,8.0,0.533,3.0,0.795,2.2,3.9,6.2,2.3,0.7,1.5,13.0,74.0,2,2006-07,16.2,10.8,15.7,4.1,5.5,0.13,1.7,1.9,-19.0,3.0,6.399999999999999,0.9000000000000004,2.6000000000000005,0.09999999999999998,0.4999999999999999,1.0,2.0999999999999996,0.8999999999999999,1.0999999999999996,0.5,1.0,0.4999999999999998,0.19999999999999996,0.10000000000000009,3.0,2.9000000000000004,0.3999999999999986,1.4000000000000004,1.6999999999999993,-0.5,-0.5,0.09999999999999987,0.01999999999999999,0.20000000000000018,0.5999999999999999,-0.1,0.2999999999999998,-0.20000000000000018,0.009000000000000008,0.5,0.09999999999999987,27.0,27.0,0.0,0.36585365853658536,0,0.0
Eddy Curry,24,81,35.2,7.2,12.5,0.576,0.0,0.0,1.0,7.2,12.5,0.575,5.0,0.615,2.4,4.6,7.0,0.8,0.5,3.6,19.5,72.0,5,2006-07,17.0,4.6,25.5,3.1,4.7,0.079,-1.8,0.1,9.0,12.0,9.300000000000004,2.5,4.199999999999999,0.0,0.0,2.5,4.199999999999999,0.7000000000000002,1.2999999999999998,0.5999999999999996,1.0,0.5,-0.30000000000000004,1.1,5.9,3.3999999999999986,0.0,2.6999999999999997,1.3999999999999986,0.8000000000000003,-0.20000000000000007,-1.4,0.001,-1.200000000000001,0.4,-0.19999999999999996,0.6000000000000001,1.4000000000000004,-0.0050000000000000044,0.30000000000000004,0.1,22.0,29.0,7.0,0.4024390243902439,17T,0.005
Samuel Dalembert,25,82,30.9,4.3,8.0,0.541,0.0,0.0,0.0,4.3,8.0,0.543,2.0,0.746,2.9,6.0,8.9,0.8,1.9,2.0,10.7,66.0,3,2006-07,16.1,4.2,16.7,2.5,6.2,0.117,-0.5,0.9,16.0,30.0,4.199999999999999,1.2999999999999998,2.4000000000000004,0.0,0.0,1.2999999999999998,2.4000000000000004,0.6000000000000001,0.7000000000000002,0.20000000000000018,0.7000000000000011,0.4,-0.5,0.3999999999999999,3.3999999999999995,2.5,1.9000000000000021,2.0,2.8999999999999986,1.6,0.0,-2.1000000000000005,0.0,0.7000000000000011,1.7,-0.5,1.0,2.6,0.020000000000000004,1.3,0.8,20.0,19.0,-1.0,0.4268292682926829,0,0.0
