Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%,Best Season,BS_PTS,BS_TRB,BS_AST,BS_STL,BS_BLK,BS_MP,BS_G,BS_FGA,BS_FG,BS_TOV,BS_3P,BS_3PA,BS_2P,BS_3P%,BS_2PA,BS_2P%,BS_FT%
1,Quincy Acy,PF,24,NYK,68,22,18.9,2.2,4.9,0.459,0.3,0.9,0.3,2.0,4.0,0.494,0.486,1.1,1.4,0.784,1.2,3.3,4.4,1.0,0.4,0.3,0.9,2.2,5.9,63.0,92,1,2013-14,2.7,3.4,0.4,0.4,0.4,13.4,63.0,2.2,1.0,0.5,0.1,0.2,1.0,0.267,2.0,0.492,0.66,2013-14,2.7,3.4,0.4,0.4,0.4,13.4,63.0,2.2,1.0,0.5,0.1,0.2,1.0,0.267,2.0,0.492,0.66
2,Jordan Adams,SG,20,MEM,30,0,8.3,1.2,2.9,0.407,0.3,0.8,0.4,0.8,2.0,0.41,0.465,0.5,0.8,0.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Steven Adams,C,21,OKC,70,67,25.3,3.1,5.7,0.544,0.0,0.0,0.0,3.1,5.7,0.547,0.544,1.5,2.9,0.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7,81.0,81,1,2013-14,3.3,4.1,0.5,0.5,0.7,14.8,81.0,2.3,1.1,0.9,0.0,0.0,1.1,,2.3,0.503,0.581,2013-14,3.3,4.1,0.5,0.5,0.7,14.8,81.0,2.3,1.1,0.9,0.0,0.0,1.1,,2.3,0.503,0.581
4,Jeff Adrien,PF,28,MIN,17,0,12.6,1.1,2.6,0.432,0.0,0.0,,1.1,2.6,0.432,0.432,1.3,2.2,0.579,1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,3.5,53.0,136,2,2013-14,6.8,5.8,0.7,0.5,0.7,18.1,53.0,5.2,2.7,0.7,0.0,0.0,2.7,,5.2,0.52,0.639,2013-14,6.8,5.8,0.7,0.5,0.7,18.1,53.0,5.2,2.7,0.7,0.0,0.0,2.7,,5.2,0.52,0.639
5,Arron Afflalo,SG,29,TOT,78,72,32.1,4.8,11.3,0.424,1.5,4.3,0.354,3.3,7.1,0.466,0.491,2.1,2.5,0.843,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3,73.0,499,7,2013-14,18.2,3.6,3.4,0.5,0.0,35.0,73.0,13.8,6.4,2.0,1.8,4.1,4.6,0.427,9.7,0.473,0.815,2013-14,18.2,3.6,3.4,0.5,0.0,35.0,73.0,13.8,6.4,2.0,1.8,4.1,4.6,0.427,9.7,0.473,0.815
5,Arron Afflalo,SG,29,DEN,53,53,33.0,5.3,12.4,0.428,1.5,4.6,0.337,3.8,7.8,0.481,0.49,2.4,2.8,0.841,0.4,3.0,3.4,1.9,0.6,0.1,1.6,2.0,14.5,73.0,499,7,2013-14,18.2,3.6,3.4,0.5,0.0,35.0,73.0,13.8,6.4,2.0,1.8,4.1,4.6,0.427,9.7,0.473,0.815,2013-14,18.2,3.6,3.4,0.5,0.0,35.0,73.0,13.8,6.4,2.0,1.8,4.1,4.6,0.427,9.7,0.473,0.815
5,Arron Afflalo,SG,29,POR,25,19,30.1,3.8,9.1,0.414,1.4,3.6,0.4,2.3,5.5,0.423,0.493,1.6,1.9,0.851,0.2,2.4,2.7,1.1,0.4,0.1,1.3,2.4,10.6,73.0,499,7,2013-14,18.2,3.6,3.4,0.5,0.0,35.0,73.0,13.8,6.4,2.0,1.8,4.1,4.6,0.427,9.7,0.473,0.815,2013-14,18.2,3.6,3.4,0.5,0.0,35.0,73.0,13.8,6.4,2.0,1.8,4.1,4.6,0.427,9.7,0.473,0.815
6,Alexis Ajinça,C,26,NOP,68,8,14.1,2.7,4.8,0.55,0.0,0.0,,2.7,4.8,0.55,0.55,1.2,1.5,0.818,1.5,3.1,4.6,0.7,0.3,0.8,1.0,2.2,6.5,56.0,127,1,2013-14,5.9,4.9,0.7,0.4,0.8,17.0,56.0,4.4,2.4,1.1,0.0,0.0,2.4,0.0,4.4,0.548,0.836,2013-14,5.9,4.9,0.7,0.4,0.8,17.0,56.0,4.4,2.4,1.1,0.0,0.0,2.4,0.0,4.4,0.548,0.836
7,Furkan Aldemir,PF,23,PHI,41,9,13.2,1.0,1.9,0.513,0.0,0.1,0.0,1.0,1.8,0.548,0.513,0.3,0.7,0.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Cole Aldrich,C,26,NYK,61,16,16.0,2.4,4.9,0.478,0.0,0.0,,2.4,4.9,0.478,0.478,0.8,1.0,0.781,1.7,3.9,5.5,1.2,0.6,1.1,1.0,2.0,5.5,46.0,135,2,2013-14,2.0,2.8,0.3,0.2,0.7,7.2,46.0,1.3,0.7,0.4,0.0,0.0,0.7,,1.3,0.541,0.867,2012-13,2.2,2.7,0.2,0.1,0.5,8.6,45.0,1.8,1.0,0.5,0.0,0.0,1.0,,1.8,0.55,0.6
