MIP Rank,Player,MIP Share,Season,Won already
1,Tyrese Maxey,0.644,2023-24,N
2,Coby White,0.616,2023-24,N
3,Alperen Sengun,0.186,2023-24,N
4,Jalen Williams,0.16,2023-24,N
5,Jalen Brunson,0.051,2023-24,N
6,Deni Avdija,0.048,2023-24,N
7,Cam Thomas,0.032,2023-24,N
8,Jalen Suggs,0.022,2023-24,N
9,Tyrese Haliburton,0.01,2023-24,N
10T,Grayson Allen,0.008,2023-24,N
10T,Duncan Robinson,0.008,2023-24,N
12T,Shai Gilgeous-Alexander,0.006,2023-24,N
12T,Devin Vassell,0.006,2023-24,N
14,Aaron Nesmith,0.002,2023-24,N
1,Lauri Markkanen,0.86,2022-23,N
2,Shai Gilgeous-Alexander,0.578,2022-23,N
3,Jalen Brunson,0.182,2022-23,N
4,Mikal Bridges,0.066,2022-23,N
5,Nic Claxton,0.044,2022-23,N
6,Tyrese Haliburton,0.032,2022-23,N
7,Trey Murphy III,0.016,2022-23,N
8T,De'Aaron Fox,0.006,2022-23,N
8T,Kevon Looney,0.006,2022-23,N
10,Austin Reaves,0.004,2022-23,N
11T,Aaron Gordon,0.002,2022-23,N
11T,Jaren Jackson Jr.,0.002,2022-23,N
11T,Malik Monk,0.002,2022-23,N
1,Ja Morant,0.442,2021-22,N
2,Dejounte Murray,0.366,2021-22,N
3,Darius Garland,0.356,2021-22,N
4,Jordan Poole,0.262,2021-22,N
5,Desmond Bane,0.148,2021-22,N
6,Tyrese Maxey,0.104,2021-22,N
7,Miles Bridges,0.076,2021-22,N
8,Anfernee Simons,0.026,2021-22,N
9,Robert Williams,0.008,2021-22,N
10,Jaren Jackson Jr.,0.006,2021-22,N
11,Jalen Brunson,0.004,2021-22,N
12,Max Strus,0.002,2021-22,N
1,Julius Randle,0.986,2020-21,N
2,Jerami Grant,0.28,2020-21,N
3,Michael Porter Jr.,0.276,2020-21,N
4,Christian Wood,0.088,2020-21,N
5,Zach LaVine,0.04,2020-21,N
6T,Chris Boucher,0.02,2020-21,N
6T,Jaylen Brown,0.02,2020-21,N
8,Mikal Bridges,0.016,2020-21,N
9,Zion Williamson,0.012,2020-21,N
10T,Clint Capela,0.006,2020-21,N
10T,Jordan Clarkson,0.006,2020-21,N
10T,Luguentz Dort,0.006,2020-21,N
10T,Darius Garland,0.006,2020-21,N
10T,Jordan Poole,0.006,2020-21,N
10T,Nikola Vučević,0.006,2020-21,N
16T,Kyle Anderson,0.004,2020-21,N
16T,RJ Barrett,0.004,2020-21,N
16T,Miles Bridges,0.004,2020-21,N
19T,Lonzo Ball,0.002,2020-21,N
19T,Bojan Bogdanović,0.002,2020-21,N
19T,Shai Gilgeous-Alexander,0.002,2020-21,N
19T,Richaun Holmes,0.002,2020-21,N
19T,T.J. McConnell,0.002,2020-21,N
19T,Terry Rozier,0.002,2020-21,N
19T,Andrew Wiggins,0.002,2020-21,N
1,Brandon Ingram,0.652,2019-20,N
2,Bam Adebayo,0.59,2019-20,N
3,Luka Dončić,0.202,2019-20,N
4,Jayson Tatum,0.114,2019-20,N
5,Devonte' Graham,0.1,2019-20,N
6,Shai Gilgeous-Alexander,0.042,2019-20,N
7,Pascal Siakam,0.026,2019-20,N
8,Christian Wood,0.022,2019-20,N
9,Trae Young,0.02,2019-20,N
10,Fred VanVleet,0.012,2019-20,N
11T,Dāvis Bertāns,0.006,2019-20,N
11T,Jaylen Brown,0.006,2019-20,N
13,Markelle Fultz,0.004,2019-20,N
14T,Spencer Dinwiddie,0.002,2019-20,N
14T,Duncan Robinson,0.002,2019-20,N
1,Pascal Siakam,0.938,2018-19,N
2,D'Angelo Russell,0.51,2018-19,N
3,De'Aaron Fox,0.154,2018-19,N
4,Buddy Hield,0.044,2018-19,N
5,Nikola Vučević,0.04,2018-19,N
6,Domantas Sabonis,0.02,2018-19,N
7,Montrezl Harrell,0.018,2018-19,N
8,Derrick Rose,0.016,2018-19,N
9,John Collins,0.012,2018-19,N
10,Giannis Antetokounmpo,0.008,2018-19,N
11T,Malik Beasley,0.006,2018-19,N
11T,Danilo Gallinari,0.006,2018-19,N
11T,Paul George,0.006,2018-19,N
14T,Bojan Bogdanović,0.004,2018-19,N
14T,Thomas Bryant,0.004,2018-19,N
16T,Willie Cauley-Stein,0.002,2018-19,N
16T,Spencer Dinwiddie,0.002,2018-19,N
16T,Bryn Forbes,0.002,2018-19,N
16T,Jerami Grant,0.002,2018-19,N
16T,Zach LaVine,0.002,2018-19,N
16T,Josh Richardson,0.002,2018-19,N
16T,Derrick White,0.002,2018-19,N
1,Victor Oladipo,0.988,2017-18,N
2,Clint Capela,0.196,2017-18,N
3,Spencer Dinwiddie,0.099,2017-18,N
4,Andre Drummond,0.091,2017-18,N
5,Julius Randle,0.071,2017-18,N
6,Steven Adams,0.067,2017-18,N
7,Jaylen Brown,0.063,2017-18,N
8,Jamal Murray,0.048,2017-18,N
9,DeMar DeRozan,0.018,2017-18,N
10T,Terry Rozier,0.016,2017-18,N
10T,Lou Williams,0.016,2017-18,N
12,Giannis Antetokounmpo,0.014,2017-18,N
13T,Nikola Jokić,0.012,2017-18,N
13T,E'Twaun Moore,0.012,2017-18,N
13T,Domantas Sabonis,0.012,2017-18,N
13T,Fred VanVleet,0.012,2017-18,N
17T,Tyreke Evans,0.008,2017-18,N
17T,Brandon Ingram,0.008,2017-18,N
17T,Dejounte Murray,0.008,2017-18,N
20T,Tobias Harris,0.006,2017-18,N
20T,Joe Ingles,0.006,2017-18,N
20T,Dario Šarić,0.006,2017-18,N
23T,Kris Dunn,0.004,2017-18,N
23T,Aaron Gordon,0.004,2017-18,N
25T,Montrezl Harrell,0.002,2017-18,N
25T,Kristaps Porziņģis,0.002,2017-18,N
25T,Taurean Prince,0.002,2017-18,N
25T,Josh Richardson,0.002,2017-18,N
25T,Ricky Rubio,0.002,2017-18,N
25T,Pascal Siakam,0.002,2017-18,N
25T,Karl-Anthony Towns,0.002,2017-18,N
25T,T.J. Warren,0.002,2017-18,N
1,Giannis Antetokounmpo,0.856,2016-17,N
2,Nikola Jokić,0.322,2016-17,N
3,Rudy Gobert,0.226,2016-17,N
4,Otto Porter Jr.,0.086,2016-17,N
5,Isaiah Thomas,0.07,2016-17,N
6,James Johnson,0.068,2016-17,N
7,Bradley Beal,0.038,2016-17,N
8,Devin Booker,0.036,2016-17,N
9,Tim Hardaway Jr.,0.028,2016-17,N
10,Mike Conley,0.01,2016-17,N
11,Dion Waiters,0.008,2016-17,N
12T,Gordon Hayward,0.006,2016-17,N
12T,Jusuf Nurkić,0.006,2016-17,N
12T,Kristaps Porziņģis,0.006,2016-17,N
12T,Dennis Schröder,0.006,2016-17,N
16T,Harrison Barnes,0.004,2016-17,N
16T,Seth Curry,0.004,2016-17,N
16T,Gary Harris,0.004,2016-17,N
16T,Myles Turner,0.004,2016-17,N
20T,Avery Bradley,0.002,2016-17,N
20T,Clint Capela,0.002,2016-17,N
20T,DeMar DeRozan,0.002,2016-17,N
20T,Joe Ingles,0.002,2016-17,N
20T,John Wall,0.002,2016-17,N
20T,Hassan Whiteside,0.002,2016-17,N
1,CJ McCollum,0.86,2015-16,N
2,Kemba Walker,0.255,2015-16,N
3,Giannis Antetokounmpo,0.152,2015-16,N
4,Stephen Curry,0.128,2015-16,N
5,Will Barton,0.095,2015-16,N
6,Jae Crowder,0.069,2015-16,N
7,Draymond Green,0.066,2015-16,N
8,Isaiah Thomas,0.046,2015-16,N
9,Hassan Whiteside,0.04,2015-16,N
10,Kawhi Leonard,0.028,2015-16,N
11,Andre Drummond,0.017,2015-16,N
12,Gary Harris,0.009,2015-16,N
13T,Kent Bazemore,0.006,2015-16,N
13T,Evan Fournier,0.006,2015-16,N
15T,Rodney Hood,0.005,2015-16,N
15T,Reggie Jackson,0.005,2015-16,N
15T,Ian Mahinmi,0.005,2015-16,N
15T,Russell Westbrook,0.005,2015-16,N
19T,Zach LaVine,0.002,2015-16,N
19T,Kyle Lowry,0.002,2015-16,N
1,Jimmy Butler,0.829,2014-15,N
2,Draymond Green,0.31,2014-15,N
3,Rudy Gobert,0.293,2014-15,N
4,Hassan Whiteside,0.136,2014-15,N
5,Klay Thompson,0.065,2014-15,N
6,Anthony Davis,0.042,2014-15,N
7,Giannis Antetokounmpo,0.034,2014-15,N
8,Donatas Motiejūnas,0.011,2014-15,N
9,Dennis Schröder,0.009,2014-15,N
10T,DeMarre Carroll,0.008,2014-15,N
10T,Tyler Zeller,0.008,2014-15,N
12T,DeMarcus Cousins,0.006,2014-15,N
12T,Khris Middleton,0.006,2014-15,N
14T,Jae Crowder,0.005,2014-15,N
14T,Kyrie Irving,0.005,2014-15,N
14T,DeAndre Jordan,0.005,2014-15,N
14T,Victor Oladipo,0.005,2014-15,N
18T,Kentavious Caldwell-Pope,0.003,2014-15,N
18T,Nikola Vučević,0.003,2014-15,N
20T,Robert Covington,0.002,2014-15,N
20T,Tyreke Evans,0.002,2014-15,N
20T,Derrick Favors,0.002,2014-15,N
20T,Enes Freedom,0.002,2014-15,N
20T,Marc Gasol,0.002,2014-15,N
20T,Tobias Harris,0.002,2014-15,N
20T,Gordon Hayward,0.002,2014-15,N
20T,George Hill,0.002,2014-15,N
20T,Brandon Knight,0.002,2014-15,N
20T,Kawhi Leonard,0.002,2014-15,N
20T,Meyers Leonard,0.002,2014-15,N
1,Goran Dragić,0.648,2013-14,N
2,Lance Stephenson,0.251,2013-14,N
3,Anthony Davis,0.246,2013-14,N
4,Gerald Green,0.186,2013-14,N
5,DeAndre Jordan,0.105,2013-14,N
6,Kyle Lowry,0.068,2013-14,N
7,Blake Griffin,0.062,2013-14,N
8,DeMar DeRozan,0.044,2013-14,N
9,Patty Mills,0.022,2013-14,N
10T,Markieff Morris,0.021,2013-14,N
10T,Isaiah Thomas,0.021,2013-14,N
12,Shaun Livingston,0.017,2013-14,N
13,D.J. Augustin,0.014,2013-14,N
14,Reggie Jackson,0.013,2013-14,N
15T,Robin Lopez,0.01,2013-14,N
15T,Klay Thompson,0.01,2013-14,N
17T,Kevin Durant,0.008,2013-14,N
17T,DeMarcus Cousins,0.008,2013-14,N
19,Al Jefferson,0.006,2013-14,N
20T,Bradley Beal,0.005,2013-14,N
20T,Mike Conley,0.005,2013-14,N
20T,Andre Drummond,0.005,2013-14,N
20T,Taj Gibson,0.005,2013-14,N
20T,LeBron James,0.005,2013-14,N
20T,Terrence Jones,0.005,2013-14,N
20T,Jodie Meeks,0.005,2013-14,N
27T,LaMarcus Aldridge,0.002,2013-14,N
27T,Alec Burks,0.002,2013-14,N
27T,Paul Millsap,0.002,2013-14,N
27T,Chandler Parsons,0.002,2013-14,N
27T,John Wall,0.002,2013-14,N
1,Paul George,0.518,2012-13,N
2,Greivis Vásquez,0.243,2012-13,N
3,Larry Sanders,0.235,2012-13,N
4,Nikola Vučević,0.182,2012-13,N
5,Jrue Holiday,0.17,2012-13,N
6,Ömer Aşık,0.143,2012-13,N
7,James Harden,0.088,2012-13,N
8,Stephen Curry,0.03,2012-13,N
9,Serge Ibaka,0.025,2012-13,N
10,Chandler Parsons,0.023,2012-13,N
11,Kemba Walker,0.015,2012-13,N
12T,J.R. Smith,0.013,2012-13,N
12T,Klay Thompson,0.013,2012-13,N
14,Jimmy Butler,0.012,2012-13,N
15T,Ryan Anderson,0.008,2012-13,N
15T,Carmelo Anthony,0.008,2012-13,N
15T,Andray Blatche,0.008,2012-13,N
15T,Mike Conley,0.008,2012-13,N
15T,Kawhi Leonard,0.008,2012-13,N
20,Kevin Durant,0.007,2012-13,N
21T,Arron Afflalo,0.005,2012-13,N
21T,Earl Clark,0.005,2012-13,N
21T,Kenneth Faried,0.005,2012-13,N
21T,Greg Monroe,0.005,2012-13,N
21T,Joakim Noah,0.005,2012-13,N
26,Tristan Thompson,0.003,2012-13,N
27T,Tobias Harris,0.002,2012-13,N
27T,Jarrett Jack,0.002,2012-13,N
27T,Ty Lawson,0.002,2012-13,N
27T,Brook Lopez,0.002,2012-13,N
27T,Robin Lopez,0.002,2012-13,N
27T,Lance Stephenson,0.002,2012-13,N
27T,Jeff Teague,0.002,2012-13,N
1,Ryan Anderson,0.43,2011-12,N
2,Ersan İlyasova,0.263,2011-12,N
3,Nikola Peković,0.172,2011-12,N
4,Andrew Bynum,0.167,2011-12,N
5,Greg Monroe,0.159,2011-12,N
6,Jeremy Lin,0.15,2011-12,N
7,Goran Dragić,0.089,2011-12,N
8,Avery Bradley,0.06,2011-12,N
