Rank,Player,Share,Season
1,Tyrese Maxey,0.644,2023-24
2,Coby White,0.616,whiteco01
3,Alperen Sengun,0.186,sengual01
4,Jalen Williams,0.160,willija06
5,Jalen Brunson,0.051,brunsja01
6,Deni Avdija,0.048,avdijde01
7,Cam Thomas,0.032,thomaca02
8,Jalen Suggs,0.022,suggsja01
9,Tyrese Haliburton,0.010,halibty01
10T,Grayson Allen,0.008,allengr01
10T,Duncan Robinson,0.008,robindu01
12T,Shai Gilgeous-Alexander,0.006,gilgesh01
12T,Devin Vassell,0.006,vassede01
14,Aaron Nesmith,0.002,nesmiaa01
1,Lauri Markkanen,0.860,2022-23
2,Shai Gilgeous-Alexander,0.578,gilgesh01
3,Jalen Brunson,0.182,brunsja01
4,Mikal Bridges,0.066,bridgmi01
5,Nic Claxton,0.044,claxtni01s
6,Tyrese Haliburton,0.032,halibty01
7,Trey Murphy III,0.016,murphtr02
8T,De'Aaron Fox,0.006,foxde01
8T,Kevon Looney,0.006,looneke01
10,Austin Reaves,0.004,reaveau01
11T,Aaron Gordon,0.002,gordoaa01
11T,Jaren Jackson Jr.,0.002,jacksja02
11T,Malik Monk,0.002,monkma01
1,Ja Morant,0.442,2021-22
2,Dejounte Murray,0.366,murrade01
3,Darius Garland,0.356,garlada01
4,Jordan Poole,0.262,poolejo01
5,Desmond Bane,0.148,banede01
6,Tyrese Maxey,0.104,maxeyty01
7,Miles Bridges,0.076,bridgmi02
8,Anfernee Simons,0.026,simonan01
9,Robert Williams,0.008,williro04
10,Jaren Jackson Jr.,0.006,jacksja02
11,Jalen Brunson,0.004,brunsja01
12,Max Strus,0.002,strusma01
1,Julius Randle,0.986,2020-21
2,Jerami Grant,0.280,grantje01
3,Michael Porter Jr.,0.276,portemi01
4,Christian Wood,0.088,woodch01
5,Zach LaVine,0.040,lavinza01
6T,Chris Boucher,0.020,bouchch01
6T,Jaylen Brown,0.020,brownja02
8,Mikal Bridges,0.016,bridgmi01
9,Zion Williamson,0.012,willizi01
10T,Clint Capela,0.006,capelca01
10T,Jordan Clarkson,0.006,clarkjo01
10T,Luguentz Dort,0.006,dortlu01
10T,Darius Garland,0.006,garlada01
10T,Jordan Poole,0.006,poolejo01
10T,Nikola Vučević,0.006,vucevni01
16T,Kyle Anderson,0.004,anderky01
16T,RJ Barrett,0.004,barrerj01
16T,Miles Bridges,0.004,bridgmi02
19T,Lonzo Ball,0.002,balllo01
19T,Bojan Bogdanović,0.002,bogdabo02
19T,Shai Gilgeous-Alexander,0.002,gilgesh01
19T,Richaun Holmes,0.002,holmeri01
19T,T.J. McConnell,0.002,mccontj01
19T,Terry Rozier,0.002,roziete01
19T,Andrew Wiggins,0.002,wiggian01
1,Brandon Ingram,0.652,2019-20
2,Bam Adebayo,0.590,adebaba01
3,Luka Dončić,0.202,doncilu01
4,Jayson Tatum,0.114,tatumja01
5,Devonte' Graham,0.100,grahade01
6,Shai Gilgeous-Alexander,0.042,gilgesh01
7,Pascal Siakam,0.026,siakapa01
8,Christian Wood,0.022,woodch01
9,Trae Young,0.020,youngtr01
10,Fred VanVleet,0.012,vanvlfr01
11T,Dāvis Bertāns,0.006,bertada01
11T,Jaylen Brown,0.006,brownja02
13,Markelle Fultz,0.004,fultzma01
14T,Spencer Dinwiddie,0.002,dinwisp01
14T,Duncan Robinson,0.002,robindu01
1,Pascal Siakam,0.938,2018-19
2,D'Angelo Russell,0.510,russeda01
3,De'Aaron Fox,0.154,foxde01
4,Buddy Hield,0.044,hieldbu01
5,Nikola Vučević,0.040,vucevni01
