Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%,Best Season
1,Shareef Abdur-Rahim,C,30,SAC,80,45,25.2,3.9,8.2,0.474,0.0,0.3,0.15,3.8,7.9,0.484,0.476,2.1,2.9,0.726,1.5,3.5,5.0,1.4,0.7,0.5,1.5,3.0,9.9,72.0,369,5,2005-06,12.3,5.0,2.1,0.7,0.6,27.2,72.0,8.8,4.6,1.5,0.1,0.3,4.5,0.227,8.5,0.536,0.784,2001-02
2,Hassan Adams,SG,22,NJN,61,8,8.1,1.2,2.2,0.556,0.0,0.0,0.0,1.2,2.2,0.56,0.556,0.4,0.6,0.667,0.6,0.7,1.3,0.2,0.3,0.1,0.4,0.8,2.9,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
3,Maurice Ager,SG,22,DAL,32,1,6.7,0.7,2.2,0.314,0.2,0.5,0.333,0.5,1.7,0.309,0.35,0.6,1.0,0.606,0.0,0.6,0.7,0.2,0.1,0.1,0.5,0.8,2.2,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
4,LaMarcus Aldridge,C,21,POR,63,22,22.1,3.8,7.6,0.503,0.0,0.0,0.0,3.8,7.6,0.505,0.503,1.3,1.8,0.722,2.3,2.7,5.0,0.4,0.3,1.2,0.7,3.0,9.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
5,Malik Allen,PF,28,CHI,60,1,10.6,1.8,4.3,0.415,0.0,0.0,0.0,1.8,4.3,0.416,0.415,0.5,0.6,0.824,0.7,1.3,2.0,0.3,0.3,0.3,0.4,1.4,4.0,54.0,227,4,2005-06,4.9,2.6,0.4,0.3,0.3,13.0,54.0,4.6,2.2,0.6,0.0,0.0,2.2,1.0,4.6,0.488,0.605,2002-03
6,Ray Allen,SG,31,SEA,55,55,40.3,9.2,21.0,0.438,3.0,8.1,0.372,6.2,12.9,0.479,0.51,5.1,5.6,0.903,1.0,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4,78.0,357,5,2005-06,25.1,4.3,3.7,1.3,0.2,38.7,78.0,19.2,8.7,2.4,3.4,8.4,5.3,0.412,10.9,0.486,0.903,2005-06
7,Tony Allen,SG,25,BOS,33,18,24.4,4.0,7.8,0.514,0.2,1.0,0.242,3.8,6.8,0.553,0.529,3.2,4.1,0.784,1.1,2.7,3.8,1.7,1.5,0.4,2.3,2.6,11.5,51.0,128,2,2005-06,7.2,2.2,1.3,1.0,0.4,19.2,51.0,5.4,2.5,1.3,0.2,0.7,2.3,0.324,4.7,0.492,0.746,2005-06
8,Rafer Alston,PG,30,HOU,82,82,37.1,4.7,12.4,0.375,2.3,6.5,0.363,2.3,6.0,0.389,0.47,1.6,2.2,0.734,0.4,3.1,3.4,5.4,1.6,0.1,2.1,2.4,13.3,63.0,322,5,2005-06,12.1,4.0,6.7,1.6,0.2,38.6,63.0,11.7,4.4,2.5,1.6,5.0,2.8,0.327,6.8,0.418,0.692,2004-05
9,Lou Amundson,PF,24,TOT,11,0,8.1,0.5,1.4,0.4,0.0,0.0,,0.5,1.4,0.4,0.4,0.4,0.9,0.4,1.2,1.4,2.5,0.1,0.1,0.7,0.5,1.4,1.5,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
9,Lou Amundson,PF,24,UTA,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
