Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%
1,Álex Abrines,SG,23,OKC,68,6,15.5,2.0,5.0,0.393,1.4,3.6,0.381,0.6,1.4,0.426,0.531,0.6,0.7,0.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Quincy Acy,PF,26,TOT,38,1,14.7,1.8,4.5,0.412,1.0,2.4,0.411,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3.0,0.5,0.4,0.4,0.6,1.8,5.8,59.0,219,3,2015-16,5.2,3.2,0.5,0.5,0.4,14.8,59.0,3.6,2.0,0.5,0.3,0.8,1.7,0.388,2.8,0.606,0.735
2,Quincy Acy,PF,26,DAL,6,0,8.0,0.8,2.8,0.294,0.2,1.2,0.143,0.7,1.7,0.4,0.324,0.3,0.5,0.667,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.5,2.2,59.0,219,3,2015-16,5.2,3.2,0.5,0.5,0.4,14.8,59.0,3.6,2.0,0.5,0.3,0.8,1.7,0.388,2.8,0.606,0.735
2,Quincy Acy,PF,26,BRK,32,1,15.9,2.0,4.8,0.425,1.1,2.6,0.434,0.9,2.2,0.414,0.542,1.3,1.8,0.754,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,6.5,59.0,219,3,2015-16,5.2,3.2,0.5,0.5,0.4,14.8,59.0,3.6,2.0,0.5,0.3,0.8,1.7,0.388,2.8,0.606,0.735
3,Steven Adams,C,23,OKC,80,80,29.9,4.7,8.2,0.571,0.0,0.0,0.0,4.7,8.2,0.572,0.571,2.0,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3,80.0,231,3,2015-16,8.0,6.7,0.8,0.5,1.1,25.2,80.0,5.3,3.3,1.1,0.0,0.0,3.3,,5.3,0.613,0.582
4,Arron Afflalo,SG,31,SAC,61,45,25.9,3.0,6.9,0.44,1.0,2.5,0.411,2.0,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4,71.0,648,9,2015-16,12.8,3.7,2.0,0.4,0.1,33.4,71.0,11.3,5.0,1.2,1.3,3.4,3.7,0.382,7.9,0.469,0.84
5,Alexis Ajinça,C,28,NOP,39,15,15.0,2.3,4.6,0.5,0.0,0.1,0.0,2.3,4.5,0.511,0.5,0.7,1.0,0.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,5.3,59.0,254,3,2015-16,6.0,4.6,0.5,0.3,0.6,14.6,59.0,5.3,2.5,0.9,0.0,0.0,2.5,0.0,5.3,0.478,0.839
6,Cole Aldrich,C,28,MIN,62,0,8.6,0.7,1.4,0.523,0.0,0.0,,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,60.0,256,4,2015-16,5.5,4.8,0.8,0.8,1.1,13.3,60.0,3.8,2.2,1.1,0.0,0.0,2.2,,3.8,0.596,0.714
7,LaMarcus Aldridge,PF,31,SAS,72,72,32.4,6.9,14.6,0.477,0.3,0.8,0.411,6.6,13.8,0.48,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,74.0,722,10,2015-16,18.0,8.5,1.5,0.5,1.1,30.6,74.0,14.1,7.2,1.3,0.0,0.2,7.2,0.0,13.9,0.521,0.858
8,Lavoy Allen,PF,27,IND,61,5,14.3,1.3,2.8,0.458,0.0,0.0,0.0,1.3,2.7,0.461,0.458,0.4,0.5,0.697,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9,79.0,327,5,2015-16,5.4,5.4,1.0,0.3,0.5,20.2,79.0,4.7,2.4,0.9,0.0,0.0,2.4,,4.7,0.516,0.63
