Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%
1,Joel Embiid,28,PHI,C,66,66,34.6,11.0,20.1,0.548,1.0,3.0,0.33,10.0,17.1,0.587,0.573,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,68.0,328,5,2021-22,30.6,11.7,4.2,1.1,1.5,33.8,68.0,19.6,9.8,3.1,1.4,3.7,8.4,0.371,15.9,0.529,0.814
2,Luka Dončić,23,DAL,PG,66,66,36.2,10.9,22.0,0.496,2.8,8.2,0.342,8.1,13.8,0.588,0.56,7.8,10.5,0.742,0.8,7.8,8.6,8.0,1.4,0.5,3.6,2.5,32.4,65.0,264,4,2021-22,28.4,9.1,8.7,1.2,0.6,35.4,65.0,21.6,9.9,4.5,3.1,8.8,6.8,0.353,12.8,0.528,0.744
3,Damian Lillard,32,POR,PG,58,58,36.3,9.6,20.7,0.463,4.2,11.3,0.371,5.4,9.4,0.574,0.564,8.8,9.6,0.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,1.9,32.2,29.0,711,9,2020-21,28.8,4.2,7.5,0.9,0.3,35.8,67.0,19.9,9.0,3.0,4.1,10.5,4.9,0.391,9.4,0.519,0.928
4,Shai Gilgeous-Alexander,24,OKC,PG,68,68,35.5,10.4,20.3,0.51,0.9,2.5,0.345,9.5,17.8,0.533,0.531,9.8,10.9,0.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8,31.4,56.0,243,3,2021-22,24.5,5.0,5.9,1.3,0.8,34.7,56.0,18.8,8.5,2.8,1.6,5.3,6.9,0.3,13.5,0.514,0.81
5,Giannis Antetokounmpo,28,MIL,PF,63,63,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,67.0,656,9,2021-22,29.9,11.6,5.8,1.1,1.4,32.9,67.0,18.6,10.3,3.3,1.1,3.6,9.2,0.293,15.0,0.616,0.722
6,Jayson Tatum,24,BOS,SF,74,74,36.9,9.8,21.1,0.466,3.2,9.3,0.35,6.6,11.8,0.558,0.543,7.2,8.4,0.854,1.1,7.7,8.8,4.6,1.1,0.7,2.9,2.2,30.1,76.0,365,5,2021-22,26.9,8.0,4.4,1.0,0.6,35.9,76.0,20.6,9.3,2.9,3.0,8.6,6.3,0.353,12.0,0.524,0.853
7,Kevin Durant,34,2TM,PF,47,47,35.6,10.3,18.3,0.56,2.0,4.9,0.404,8.3,13.4,0.617,0.614,6.5,7.1,0.919,0.4,6.3,6.7,5.0,0.7,1.4,3.3,2.1,29.1,55.0,939,12,2021-22,29.9,7.4,6.4,0.9,0.9,37.2,55.0,20.3,10.5,3.5,2.1,5.5,8.4,0.383,14.8,0.568,0.91
7,Kevin Durant,34,BRK,PF,39,39,36.0,10.5,18.8,0.559,1.8,4.8,0.376,8.7,14.0,0.622,0.607,6.8,7.3,0.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7,55.0,939,12,2021-22,29.9,7.4,6.4,0.9,0.9,37.2,55.0,20.3,10.5,3.5,2.1,5.5,8.4,0.383,14.8,0.568,0.91
7,Kevin Durant,34,PHO,PF,8,8,33.6,9.1,16.0,0.57,2.8,5.1,0.537,6.4,10.9,0.586,0.656,5.0,6.0,0.833,0.4,6.0,6.4,3.5,0.3,1.3,2.5,0.9,26.0,55.0,939,12,2021-22,29.9,7.4,6.4,0.9,0.9,37.2,55.0,20.3,10.5,3.5,2.1,5.5,8.4,0.383,14.8,0.568,0.91
8,Stephen Curry,34,GSW,PG,56,56,34.7,10.0,20.2,0.493,4.9,11.4,0.427,5.1,8.8,0.579,0.614,4.6,5.0,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4,64.0,826,11,2021-22,25.5,5.2,6.3,1.3,0.4,34.5,64.0,19.1,8.4,3.2,4.5,11.7,3.9,0.38,7.4,0.527,0.923
9,LeBron James,38,LAL,PF,55,54,35.5,11.1,22.2,0.5,2.2,6.9,0.321,8.9,15.3,0.58,0.549,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9,56.0,1366,19,2021-22,30.3,8.2,6.2,1.3,1.1,37.2,56.0,21.8,11.4,3.5,2.9,8.0,8.6,0.359,13.8,0.62,0.756
10,Donovan Mitchell,26,CLE,SG,68,68,35.8,10.0,20.6,0.484,3.6,9.3,0.386,6.4,11.3,0.566,0.572,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3,67.0,345,5,2021-22,25.9,4.2,5.3,1.5,0.2,33.8,67.0,20.5,9.2,3.0,3.5,9.8,5.7,0.355,10.8,0.533,0.853
11,Devin Booker,26,PHO,SG,53,53,34.6,9.9,20.1,0.494,2.1,6.0,0.351,7.8,14.2,0.554,0.546,5.8,6.8,0.855,0.9,3.7,4.5,5.5,1.0,0.3,2.7,3.0,27.8,68.0,477,7,2021-22,26.8,5.0,4.8,1.1,0.4,34.5,68.0,20.9,9.7,2.4,2.7,7.0,7.0,0.383,13.9,0.508,0.868
12,Kyrie Irving,30,2TM,SG,60,60,37.4,9.9,20.1,0.494,3.1,8.3,0.379,6.8,11.8,0.574,0.572,4.1,4.6,0.905,1.0,4.1,5.1,5.5,1.1,0.8,2.1,2.8,27.1,29.0,611,9,2020-21,26.9,4.8,6.0,1.4,0.7,34.9,54.0,20.1,10.2,2.4,2.8,7.0,7.4,0.402,13.1,0.561,0.922
12,Kyrie Irving,30,BRK,PG,40,40,37.0,10.0,20.5,0.486,3.3,8.7,0.374,6.7,11.8,0.569,0.565,4.0,4.5,0.883,1.0,4.2,5.1,5.3,1.0,0.8,2.3,2.7,27.1,29.0,611,9,2020-21,26.9,4.8,6.0,1.4,0.7,34.9,54.0,20.1,10.2,2.4,2.8,7.0,7.4,0.402,13.1,0.561,0.922
12,Kyrie Irving,30,DAL,SG,20,20,38.2,9.8,19.2,0.51,2.9,7.4,0.392,6.9,11.8,0.585,0.586,4.5,4.7,0.947,1.1,4.0,5.0,6.0,1.3,0.6,1.9,2.8,27.0,29.0,611,9,2020-21,26.9,4.8,6.0,1.4,0.7,34.9,54.0,20.1,10.2,2.4,2.8,7.0,7.4,0.402,13.1,0.561,0.922
13,Jaylen Brown,26,BOS,SF,67,67,35.9,10.1,20.6,0.491,2.4,7.3,0.335,7.7,13.4,0.576,0.55,3.9,5.1,0.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.6,66.0,403,6,2021-22,23.6,6.1,3.5,1.1,0.3,33.6,66.0,18.4,8.7,2.7,2.5,7.0,6.2,0.358,11.4,0.544,0.758
14,Trae Young,24,ATL,PG,73,73,34.8,8.2,19.0,0.429,2.1,6.3,0.335,6.1,12.7,0.476,0.485,7.8,8.8,0.886,0.8,2.2,3.0,10.2,1.1,0.1,4.1,1.4,26.2,76.0,280,4,2021-22,28.4,3.7,9.7,0.9,0.1,34.9,76.0,20.3,9.4,4.0,3.1,8.0,6.3,0.382,12.3,0.512,0.904
15,Ja Morant,23,MEM,PG,61,59,31.9,9.3,19.9,0.466,1.5,4.9,0.307,7.8,15.0,0.519,0.504,6.1,8.1,0.748,1.0,4.9,5.9,8.1,1.1,0.3,3.4,1.6,26.2,57.0,187,3,2021-22,27.4,5.7,6.7,1.2,0.4,33.1,57.0,20.6,10.2,3.4,1.5,4.5,8.6,0.344,16.2,0.534,0.761
