Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%,Best Season
1,Joel Embiid,29,PHI,C,39,39,33.6,11.5,21.8,0.529,1.4,3.6,0.388,10.2,18.3,0.556,0.561,10.2,11.6,0.883,2.4,8.6,11.0,5.6,1.2,1.7,3.8,2.9,34.7,66.0,394,6,2022-23,33.1,10.2,4.2,1.0,1.7,34.6,66.0,20.1,11.0,3.4,1.0,3.0,10.0,0.33,17.1,0.587,0.857,2022-23
2,Luka Dončić,24,DAL,PG,70,70,37.5,11.5,23.6,0.487,4.1,10.6,0.382,7.4,13.0,0.573,0.573,6.8,8.7,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4.0,2.1,33.9,66.0,330,5,2022-23,32.4,8.6,8.0,1.4,0.5,36.2,66.0,22.0,10.9,3.6,2.8,8.2,8.1,0.342,13.8,0.588,0.742,2022-23
3,Giannis Antetokounmpo,29,MIL,PF,73,73,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11.0,17.1,0.645,0.624,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,63.0,719,10,2022-23,31.1,11.8,5.7,0.8,0.8,32.1,63.0,20.3,11.2,3.9,0.7,2.7,10.5,0.275,17.6,0.596,0.645,2022-23
4,Shai Gilgeous-Alexander,25,OKC,PG,75,75,34.0,10.6,19.8,0.535,1.3,3.6,0.353,9.3,16.2,0.576,0.567,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2.0,0.9,2.2,2.5,30.1,68.0,311,4,2022-23,31.4,4.8,5.5,1.6,1.0,35.5,68.0,20.3,10.4,2.8,0.9,2.5,9.5,0.345,17.8,0.533,0.905,2022-23
5,Jalen Brunson,27,NYK,PG,77,77,35.4,10.3,21.4,0.479,2.7,6.8,0.401,7.5,14.6,0.516,0.543,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7,68.0,345,5,2022-23,24.0,3.5,6.2,0.9,0.2,35.0,68.0,17.6,8.6,2.1,2.0,4.7,6.7,0.416,12.8,0.519,0.829,2022-23
6,Devin Booker,27,PHO,PG,68,68,36.0,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13.0,0.552,0.55,6.0,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3.0,27.1,53.0,530,8,2022-23,27.8,4.5,5.5,1.0,0.3,34.6,53.0,20.1,9.9,2.7,2.1,6.0,7.8,0.351,14.2,0.554,0.855,2022-23
7,Kevin Durant,35,PHO,PF,75,75,37.2,10.0,19.1,0.523,2.2,5.4,0.413,7.8,13.7,0.567,0.581,4.8,5.6,0.856,0.5,6.1,6.6,5.0,0.9,1.2,3.3,1.8,27.1,47.0,986,13,2022-23,29.1,6.7,5.0,0.7,1.4,35.6,47.0,18.3,10.3,3.3,2.0,4.9,8.3,0.404,13.4,0.617,0.919,2013-14
8,Jayson Tatum,25,BOS,PF,74,74,35.7,9.1,19.3,0.471,3.1,8.2,0.376,6.0,11.0,0.542,0.552,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1.0,0.6,2.5,2.0,26.9,74.0,439,6,2022-23,30.1,8.8,4.6,1.1,0.7,36.9,74.0,21.1,9.8,2.9,3.2,9.3,6.6,0.35,11.8,0.558,0.854,2022-23
9,Donovan Mitchell,27,CLE,SG,55,55,35.3,9.1,19.8,0.462,3.3,9.0,0.368,5.8,10.8,0.539,0.545,5.0,5.8,0.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1,26.6,68.0,413,6,2022-23,28.3,4.3,4.4,1.5,0.4,35.8,68.0,20.6,10.0,2.6,3.6,9.3,6.4,0.386,11.3,0.566,0.867,2022-23
10,De'Aaron Fox,26,SAC,PG,74,74,35.9,9.7,20.9,0.465,2.9,7.8,0.369,6.8,13.1,0.522,0.534,4.2,5.7,0.738,0.9,3.7,4.6,5.6,2.0,0.4,2.6,2.6,26.6,73.0,395,6,2022-23,25.0,4.2,6.1,1.1,0.3,33.4,73.0,18.2,9.3,2.5,1.6,5.0,7.7,0.324,13.2,0.584,0.78,2020-21
11,Nikola Jokić,28,DEN,C,79,79,34.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,2.5,26.4,69.0,596,8,2022-23,24.5,11.8,9.8,1.3,0.7,33.7,69.0,14.8,9.4,3.6,0.8,2.2,8.5,0.383,12.7,0.675,0.822,2021-22
12,Stephen Curry,35,GSW,PG,74,74,32.7,8.8,19.5,0.45,4.8,11.8,0.408,4.0,7.7,0.515,0.573,4.0,4.4,0.923,0.5,4.0,4.5,5.1,0.7,0.4,2.8,1.6,26.4,56.0,882,12,2022-23,29.4,6.1,6.3,0.9,0.4,34.7,56.0,20.2,10.0,3.2,4.9,11.4,5.1,0.427,8.8,0.579,0.915,2020-21
13,Anthony Edwards,22,MIN,SG,79,78,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13.0,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9,79.0,223,3,2022-23,24.6,5.8,4.4,1.6,0.7,36.0,79.0,19.5,8.9,3.3,2.7,7.3,6.3,0.369,12.2,0.513,0.756,2022-23
14,Tyrese Maxey,23,PHI,PG,70,70,37.5,9.1,20.3,0.45,3.0,8.1,0.373,6.1,12.1,0.501,0.524,4.7,5.4,0.868,0.5,3.2,3.7,6.2,1.0,0.5,1.7,2.2,25.9,60.0,196,3,2022-23,20.3,2.9,3.5,0.8,0.1,33.6,60.0,15.2,7.3,1.3,2.7,6.2,4.7,0.434,9.1,0.513,0.845,2022-23
15,Trae Young,25,ATL,PG,54,54,36.0,8.0,18.7,0.43,3.2,8.7,0.373,4.8,10.0,0.479,0.516,6.4,7.5,0.855,0.4,2.3,2.8,10.8,1.3,0.2,4.4,2.0,25.7,73.0,353,5,2022-23,26.2,3.0,10.2,1.1,0.1,34.8,73.0,19.0,8.2,4.1,2.1,6.3,6.1,0.335,12.7,0.476,0.886,2019-20
16,LeBron James,39,LAL,PF,71,71,35.3,9.6,17.9,0.54,2.1,5.1,0.41,7.5,12.8,0.592,0.599,4.3,5.7,0.75,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7,55.0,1421,20,2022-23,28.9,8.3,6.8,0.9,0.6,35.5,55.0,22.2,11.1,3.2,2.2,6.9,8.9,0.321,15.3,0.58,0.768,2005-06
17,Kyrie Irving,31,DAL,SG,58,58,35.0,9.7,19.5,0.497,3.0,7.3,0.411,6.7,12.2,0.548,0.573,3.3,3.6,0.905,0.8,4.2,5.0,5.2,1.3,0.5,1.8,1.9,25.6,60.0,671,10,2022-23,27.1,5.1,5.5,1.1,0.8,37.4,60.0,20.1,9.9,2.1,3.1,8.3,6.8,0.379,11.8,0.574,0.905,2022-23
18,Ja Morant,24,MEM,PG,9,9,35.3,8.9,18.9,0.471,1.6,5.7,0.275,7.3,13.2,0.555,0.512,5.8,7.1,0.813,0.7,4.9,5.6,8.1,0.8,0.6,3.0,2.1,25.1,61.0,248,4,2022-23,26.2,5.9,8.1,1.1,0.3,31.9,61.0,19.9,9.3,3.4,1.5,4.9,7.8,0.307,15.0,0.519,0.748,2021-22
