Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,24,195,24,0,8.1,1.5,2.8,.545,0.0,0.0,,1.5,2.8,.545,0.6,0.8,.700,0.7,2.0,0.3,0.4,0.0,0.5,1.1,3.6
Matee Ajavon,ATL,G,32,338,32,2,10.6,1.1,3.7,.305,0.1,0.4,.231,1.0,3.3,.314,0.9,1.3,.750,0.6,1.6,1.2,0.4,0.3,1.0,1.6,3.3
Kayla Alexander,SAS,C,25,489,25,0,19.6,3.1,5.6,.546,0.0,0.0,,3.1,5.6,.546,1.8,2.4,.754,1.9,4.5,0.5,0.4,0.5,1.1,2.2,8.0
Rebecca Allen,NYL,F-G,21,280,21,6,13.3,2.1,4.7,.459,0.8,1.4,.567,1.3,3.2,.412,0.6,0.7,.867,0.6,1.7,0.5,0.4,0.5,0.6,1.7,5.7
Ameryst Alston,NYL,G,1,0,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayne Appel-Marinelli,SAS,C,34,786,34,34,23.1,1.5,3.5,.429,0.0,0.1,.000,1.5,3.4,.443,1.1,1.4,.735,1.2,5.4,2.1,0.9,1.0,1.6,3.3,4.1
Seimone Augustus*,MIN,G-F,29,765,29,29,26.4,4.8,10.3,.460,0.4,1.3,.333,4.3,9.0,.479,1.3,1.6,.804,0.5,2.9,2.4,0.5,0.4,1.9,1.5,11.2
Rachel Banham,CON,G,15,164,15,0,10.9,1.3,3.3,.408,0.9,2.5,.351,0.5,0.8,.583,0.1,0.2,.667,0.1,0.7,0.9,0.5,0.1,0.5,1.3,3.7
Mistie Bass,PHO,F,33,434,33,1,13.2,1.1,2.4,.463,0.0,0.0,,1.1,2.4,.463,0.7,0.8,.815,0.8,1.9,0.8,0.5,0.3,0.6,1.5,2.9
Vicki Baugh,SAS,F-C,11,148,11,0,13.5,1.7,3.0,.576,0.0,0.0,,1.7,3.0,.576,0.5,0.8,.667,1.5,3.7,0.3,0.4,0.3,1.3,2.3,4.0
Alana Beard,LAS,G-F,34,997,34,34,29.3,2.9,6.3,.467,0.4,1.1,.342,2.6,5.2,.494,0.8,1.1,.692,0.9,3.3,2.1,1.7,0.6,1.3,2.8,7.1
Evgeniya Belyakova,LAS,F,21,238,21,0,11.3,0.8,2.6,.296,0.2,1.3,.179,0.5,1.2,.423,0.3,0.8,.438,0.1,0.7,0.7,0.6,0.0,0.4,1.1,2.1
Alex Bentley,CON,G,34,979,34,34,28.8,5.0,12.9,.385,1.4,4.9,.286,3.6,8.0,.446,1.5,1.9,.785,0.3,1.9,2.5,0.9,0.1,1.4,2.5,12.9
Tiffany Bias,DAL,G,10,64,10,0,6.4,0.8,2.3,.348,0.3,1.1,.273,0.5,1.2,.417,1.0,1.2,.833,0.1,0.5,0.6,0.2,0.0,1.1,0.5,2.9
Sue Bird,SEA,G,34,1076,34,34,31.6,4.7,10.5,.449,2.1,4.8,.444,2.6,5.7,.454,1.3,1.6,.786,0.2,2.9,5.8,1.0,0.2,2.5,1.4,12.8
Abby Bishop,SEA,F,13,67,13,0,5.2,0.3,0.8,.364,0.1,0.5,.167,0.2,0.4,.600,0.2,0.3,.750,0.0,0.5,0.6,0.1,0.1,0.1,1.3,0.9
DeWanna Bonner,PHO,F-G,34,1064,34,24,31.3,4.5,10.7,.424,1.5,4.5,.329,3.1,6.2,.493,3.9,4.9,.798,1.2,5.4,2.4,1.3,0.6,1.6,1.6,14.5
Brittany Boyd,NYL,G,33,651,33,9,19.7,2.3,6.3,.361,0.2,1.1,.167,2.1,5.2,.401,1.8,2.5,.728,0.5,2.5,3.6,1.6,0.1,2.0,2.5,6.5
Imani McGee-Stafford,CHI,C,31,587,31,16,18.9,2.8,5.1,.554,0.0,0.0,,2.8,5.1,.554,1.1,1.6,.660,1.7,5.6,0.6,0.6,1.4,0.9,3.0,6.7
Jessica Breland,CHI,F,34,585,34,16,17.2,2.6,5.2,.494,0.0,0.0,,2.6,5.2,.494,0.9,1.1,.795,1.3,4.4,0.7,0.5,1.1,1.1,2.2,6.0
Rebekkah Brunson,MIN,F,33,812,33,33,24.6,2.8,5.8,.477,0.0,0.0,.000,2.8,5.8,.479,1.8,2.1,.857,2.2,7.3,1.8,0.9,0.3,0.8,2.5,7.4
Adut Bulgak,NYL,C,7,23,7,0,3.3,0.7,1.6,.455,0.1,0.3,.500,0.6,1.3,.444,0.4,0.6,.750,0.4,1.3,0.0,0.0,0.0,0.1,0.4,2.0
Cierra Burdick,ATL,F,8,29,8,0,3.6,0.1,1.0,.125,0.0,0.0,,0.1,1.0,.125,0.1,0.3,.500,0.4,0.5,0.0,0.0,0.0,0.3,0.8,0.4
Essence Carson,LAS,G,34,791,34,34,23.3,3.0,6.7,.449,0.7,1.9,.359,2.3,4.8,.485,1.4,1.6,.891,0.4,2.0,1.5,1.1,0.2,1.2,1.4,8.1
Swin Cash*,NYL,F,31,604,31,23,19.5,2.0,5.2,.379,0.0,0.3,.125,1.9,4.9,.392,1.3,1.9,.683,1.2,3.4,1.4,0.7,0.5,1.3,1.7,5.3
Tamika Catchings*,IND,F,34,844,34,34,24.8,4.3,9.9,.433,1.0,2.9,.350,3.3,7.0,.468,3.1,3.6,.862,1.2,4.8,1.9,1.8,0.3,1.2,2.1,12.7
Tina Charles,NYL,C,32,1077,32,32,33.7,8.5,19.4,.439,0.5,1.5,.347,8.0,17.9,.447,3.9,4.8,.812,2.3,9.9,3.8,0.8,0.8,2.0,1.5,21.5
Karima Christmas-Kelly,DAL,F-G,34,1075,34,34,31.6,3.8,9.4,.400,1.1,3.5,.317,2.6,5.9,.450,3.8,4.8,.796,2.4,5.9,2.1,1.2,0.7,1.5,2.7,12.4
Layshia Clarendon,ATL,G,34,959,34,32,28.2,3.6,7.8,.466,0.5,1.5,.346,3.1,6.3,.495,2.6,3.4,.765,1.3,4.3,3.5,0.7,0.1,2.2,2.3,10.4
Alysha Clark,SEA,F,33,911,33,32,27.6,3.2,6.6,.484,1.1,2.8,.387,2.1,3.8,.556,1.5,1.8,.847,1.2,3.7,1.9,0.7,0.1,1.3,2.6,9.0
Natasha Cloud,WAS,G,31,753,31,28,24.3,1.8,5.2,.348,0.7,2.2,.338,1.1,3.0,.355,1.4,1.8,.754,0.2,3.0,3.8,0.8,0.1,1.4,2.1,5.7
Marissa Coleman,IND,G-F,32,781,32,21,24.4,2.7,7.7,.346,1.0,3.8,.268,1.6,3.8,.423,2.0,2.7,.753,0.7,3.3,2.0,0.9,0.3,1.8,2.1,8.3
Sydney Colson,SAS,G,34,573,34,0,16.9,1.7,4.0,.431,0.1,0.8,.192,1.6,3.3,.486,1.4,1.7,.831,0.4,1.6,2.6,1.1,0.0,1.5,1.8,5.1
Kahleah Copper,WAS,G-F,30,487,30,3,16.2,2.2,5.2,.417,0.5,1.0,.467,1.7,4.2,.405,1.4,2.1,.683,0.4,3.1,0.8,0.5,0.1,1.1,1.8,6.2
Carla Cortijo,ATL,G,27,294,27,1,10.9,1.7,4.7,.354,0.5,1.7,.289,1.2,3.0,.390,0.9,1.2,.781,0.1,1.6,1.6,0.3,0.0,1.0,1.2,4.7
Anna Cruz,MIN,G,6,60,6,0,10.0,0.8,1.8,.455,0.2,0.2,1.000,0.7,1.7,.400,1.0,1.0,1.000,0.2,1.0,2.0,0.3,0.0,0.3,1.3,2.8
Monique Currie,SAS,F,34,868,34,34,25.5,3.7,9.5,.386,0.7,2.3,.321,2.9,7.2,.407,2.6,2.9,.918,1.1,4.4,2.1,0.8,0.4,1.8,2.6,10.7
